As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score
2021-12-22,2,2,1,The Unforgivable,Movie,Yes,"Dec 10, 2021",12,115
2021-12-23,1,1,5,The Witcher,TV Show,Yes,"Dec 20, 2019",11,84
2021-12-23,2,-,-,Emily in Paris,TV Show,Yes,"Oct 2, 2020",22,166
2021-12-24,1,1,5,The Witcher,TV Show,Yes,"Dec 20, 2019",12,94
2021-12-24,2,2,-,Emily in Paris,TV Show,Yes,"Oct 2, 2020",23,175
2021-12-25,1,-,-,Donât Look Up,Movie,Yes,"Dec 24, 2021",1,10
2021-12-25,2,1,1,The Witcher,TV Show,Yes,"Dec 20, 2019",13,103
2021-12-26,1,1,-,Donât Look Up,Movie,Yes,"Dec 24, 2021",2,20
2021-12-26,2,2,1,The Witcher,TV Show,Yes,"Dec 20, 2019",14,112
2021-12-27,1,1,-,Donât Look Up,Movie,Yes,"Dec 24, 2021",3,30
2021-12-27,2,2,1,The Witcher,TV Show,Yes,"Dec 20, 2019",15,121
2021-12-28,1,1,-,Donât Look Up,Movie,Yes,"Dec 24, 2021",4,40
2021-12-28,2,2,1,The Witcher,TV Show,Yes,"Dec 20, 2019",16,130
2021-12-29,1,1,-,Donât Look Up,Movie,Yes,"Dec 24, 2021",5,50
2021-12-29,2,2,1,The Witcher,TV Show,Yes,"Dec 20, 2019",17,139
2021-12-30,1,1,-,Donât Look Up,Movie,Yes,"Dec 24, 2021",6,60
2021-12-30,2,2,1,The Witcher,TV Show,Yes,"Dec 20, 2019",18,148
2021-12-31,1,1,-,Donât Look Up,Movie,Yes,"Dec 24, 2021",7,70
2021-12-31,2,2,1,The Witcher,TV Show,Yes,"Dec 20, 2019",19,157
2022-01-01,1,-,-,Cobra Kai,TV Show,,"Aug 28, 2020",54,380
2022-01-01,2,1,1,Donât Look Up,Movie,Yes,"Dec 24, 2021",8,79
2022-01-02,1,1,-,Cobra Kai,TV Show,,"Aug 28, 2020",55,390
2022-01-02,2,2,1,Donât Look Up,Movie,Yes,"Dec 24, 2021",9,88
2022-01-03,1,1,-,Cobra Kai,TV Show,,"Aug 28, 2020",56,400
2022-01-03,2,2,1,Donât Look Up,Movie,Yes,"Dec 24, 2021",10,97
2022-01-04,1,1,-,Cobra Kai,TV Show,,"Aug 28, 2020",57,410
2022-01-04,2,3,-,Stay Close,TV Show,Yes,"Dec 31, 2021",4,26
2022-01-05,1,1,-,Cobra Kai,TV Show,,"Aug 28, 2020",58,420
2022-01-05,2,2,-,Stay Close,TV Show,Yes,"Dec 31, 2021",5,35
2022-01-06,1,1,-,Cobra Kai,TV Show,,"Aug 28, 2020",59,430
2022-01-06,2,2,-,Stay Close,TV Show,Yes,"Dec 31, 2021",6,44
2022-01-07,1,1,-,Cobra Kai,TV Show,,"Aug 28, 2020",60,440
2022-01-07,2,2,-,Stay Close,TV Show,Yes,"Dec 31, 2021",7,53
2022-01-08,1,1,1,Cobra Kai,TV Show,,"Aug 28, 2020",61,450
2022-01-08,2,2,7,Stay Close,TV Show,Yes,"Dec 31, 2021",8,62
2022-01-09,1,1,1,Cobra Kai,TV Show,,"Aug 28, 2020",62,460
2022-01-09,2,2,6,Stay Close,TV Show,Yes,"Dec 31, 2021",9,71
2022-01-10,1,1,1,Cobra Kai,TV Show,,"Aug 28, 2020",63,470
2022-01-10,2,2,3,Stay Close,TV Show,Yes,"Dec 31, 2021",10,80
2022-01-11,1,1,1,Cobra Kai,TV Show,,"Aug 28, 2020",64,480
2022-01-11,2,2,2,Stay Close,TV Show,Yes,"Dec 31, 2021",11,89
2022-01-12,1,1,1,Cobra Kai,TV Show,,"Aug 28, 2020",65,490
2022-01-12,2,2,2,Stay Close,TV Show,Yes,"Dec 31, 2021",12,98
2022-01-13,1,-,-,Cheer,TV Show,Yes,"Jan 8, 2020",1,10
2022-01-13,2,1,1,Cobra Kai,TV Show,,"Aug 28, 2020",66,499
2022-01-14,1,1,-,Cheer,TV Show,Yes,"Jan 8, 2020",2,20
2022-01-14,2,-,-,Brazen,Movie,Yes,"Jan 13, 2022",1,9
2022-01-15,1,1,-,Cheer,TV Show,Yes,"Jan 8, 2020",3,30
2022-01-15,2,2,-,Brazen,Movie,Yes,"Jan 13, 2022",2,18
2022-01-16,1,1,-,Cheer,TV Show,Yes,"Jan 8, 2020",4,40
2022-01-16,2,2,-,Brazen,Movie,Yes,"Jan 13, 2022",3,27
2022-01-17,1,3,-,Archive 81,TV Show,Yes,"Jan 14, 2022",3,25
2022-01-17,2,1,-,Cheer,TV Show,Yes,"Jan 8, 2020",5,49
2022-01-18,1,1,-,Archive 81,TV Show,Yes,"Jan 14, 2022",4,35
2022-01-18,2,2,-,Cheer,TV Show,Yes,"Jan 8, 2020",6,58
2022-01-19,1,1,-,Archive 81,TV Show,Yes,"Jan 14, 2022",5,45
2022-01-19,2,2,-,Cheer,TV Show,Yes,"Jan 8, 2020",7,67
2022-01-20,1,1,-,Archive 81,TV Show,Yes,"Jan 14, 2022",6,55
2022-01-20,2,-,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",35,208
2022-01-21,1,1,-,Archive 81,TV Show,Yes,"Jan 14, 2022",7,65
2022-01-21,2,2,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",36,217
2022-01-22,1,6,-,Ozark,TV Show,Yes,"Jul 21, 2017",51,287
2022-01-22,2,1,4,Archive 81,TV Show,Yes,"Jan 14, 2022",8,74
2022-01-23,1,1,10,Ozark,TV Show,Yes,"Jul 21, 2017",52,297
2022-01-23,2,2,3,Archive 81,TV Show,Yes,"Jan 14, 2022",9,83
2022-01-24,1,1,9,Ozark,TV Show,Yes,"Jul 21, 2017",53,307
2022-01-24,2,2,1,Archive 81,TV Show,Yes,"Jan 14, 2022",10,92
2022-01-25,1,1,8,Ozark,TV Show,Yes,"Jul 21, 2017",54,317
2022-01-25,2,2,1,Archive 81,TV Show,Yes,"Jan 14, 2022",11,101
2022-01-26,1,1,9,Ozark,TV Show,Yes,"Jul 21, 2017",55,327
2022-01-26,2,2,1,Archive 81,TV Show,Yes,"Jan 14, 2022",12,110
2022-01-27,1,1,9,Ozark,TV Show,Yes,"Jul 21, 2017",56,337
2022-01-27,2,2,1,Archive 81,TV Show,Yes,"Jan 14, 2022",13,119
2022-01-28,1,1,6,Ozark,TV Show,Yes,"Jul 21, 2017",57,347
2022-01-28,2,2,1,Archive 81,TV Show,Yes,"Jan 14, 2022",14,128
2022-01-29,1,1,1,Ozark,TV Show,Yes,"Jul 21, 2017",58,357
2022-01-29,2,-,-,The Woman in the House Acro…,TV Show,Yes,"Jan 28, 2022",1,9
2022-01-30,1,2,-,The Woman in the House Acro…,TV Show,Yes,"Jan 28, 2022",2,19
2022-01-30,2,1,1,Ozark,TV Show,Yes,"Jul 21, 2017",59,366
2022-01-31,1,1,-,The Woman in the House Acro…,TV Show,Yes,"Jan 28, 2022",3,29
2022-01-31,2,3,-,All of Us Are Dead,TV Show,Yes,"Jan 28, 2022",3,25
2022-02-01,1,1,-,The Woman in the House Acro…,TV Show,Yes,"Jan 28, 2022",4,39
2022-02-01,2,2,-,All of Us Are Dead,TV Show,Yes,"Jan 28, 2022",4,34
2022-02-02,1,1,-,The Woman in the House Acro…,TV Show,Yes,"Jan 28, 2022",5,49
2022-02-02,2,2,-,All of Us Are Dead,TV Show,Yes,"Jan 28, 2022",5,43
2022-02-03,1,3,-,Raising Dion,TV Show,Yes,"Oct 4, 2019",2,18
2022-02-03,2,1,-,The Woman in the House Acro…,TV Show,Yes,"Jan 28, 2022",6,58
2022-02-04,1,3,-,All of Us Are Dead,TV Show,Yes,"Jan 28, 2022",7,61
2022-02-04,2,2,-,The Woman in the House Acro…,TV Show,Yes,"Jan 28, 2022",7,67
2022-02-05,1,-,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",20,153
2022-02-05,2,1,3,All of Us Are Dead,TV Show,Yes,"Jan 28, 2022",8,70
2022-02-06,1,1,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",21,163
2022-02-06,2,2,3,All of Us Are Dead,TV Show,Yes,"Jan 28, 2022",9,79
2022-02-07,1,1,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",22,173
2022-02-07,2,2,2,All of Us Are Dead,TV Show,Yes,"Jan 28, 2022",10,88
2022-02-08,1,1,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",23,183
2022-02-08,2,2,2,All of Us Are Dead,TV Show,Yes,"Jan 28, 2022",11,97
2022-02-09,1,1,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",24,193
2022-02-09,2,2,2,All of Us Are Dead,TV Show,Yes,"Jan 28, 2022",12,106
2022-02-10,1,1,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",25,203
2022-02-10,2,2,3,All of Us Are Dead,TV Show,Yes,"Jan 28, 2022",13,115
2022-02-11,1,1,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",26,213
2022-02-11,2,2,1,All of Us Are Dead,TV Show,Yes,"Jan 28, 2022",14,124
2022-02-12,1,-,-,Inventing Anna,TV Show,Yes,"Feb 11, 2022",1,10
2022-02-12,2,1,1,Sweet Magnolias,TV Show,Yes,"May 19, 2020",27,222
2022-02-13,1,1,-,Inventing Anna,TV Show,Yes,"Feb 11, 2022",2,20
2022-02-13,2,3,-,Love is Blind,TV Show,Yes,"Feb 13, 2020",20,108
2022-02-14,1,1,-,Inventing Anna,TV Show,Yes,"Feb 11, 2022",3,30
2022-02-14,2,2,-,Love is Blind,TV Show,Yes,"Feb 13, 2020",21,117
2022-02-15,1,1,-,Inventing Anna,TV Show,Yes,"Feb 11, 2022",4,40
2022-02-15,2,2,-,Love is Blind,TV Show,Yes,"Feb 13, 2020",22,126
2022-02-16,1,1,-,Inventing Anna,TV Show,Yes,"Feb 11, 2022",5,50
2022-02-16,2,2,-,Love is Blind,TV Show,Yes,"Feb 13, 2020",23,135
2022-02-17,1,1,-,Inventing Anna,TV Show,Yes,"Feb 11, 2022",6,60
2022-02-17,2,2,-,Love is Blind,TV Show,Yes,"Feb 13, 2020",24,144
2022-02-18,1,1,-,Inventing Anna,TV Show,Yes,"Feb 11, 2022",7,70
2022-02-18,2,2,-,Love is Blind,TV Show,Yes,"Feb 13, 2020",25,153
2022-02-19,1,1,1,Inventing Anna,TV Show,Yes,"Feb 11, 2022",8,80
2022-02-19,2,2,3,Love is Blind,TV Show,Yes,"Feb 13, 2020",26,162
2022-02-20,1,1,1,Inventing Anna,TV Show,Yes,"Feb 11, 2022",9,90
2022-02-20,2,2,2,Love is Blind,TV Show,Yes,"Feb 13, 2020",27,171
2022-02-21,1,1,1,Inventing Anna,TV Show,Yes,"Feb 11, 2022",10,100
2022-02-21,2,2,2,Love is Blind,TV Show,Yes,"Feb 13, 2020",28,180
2022-02-22,1,1,1,Inventing Anna,TV Show,Yes,"Feb 11, 2022",11,110
2022-02-22,2,2,2,Love is Blind,TV Show,Yes,"Feb 13, 2020",29,189
2022-02-23,1,1,1,Inventing Anna,TV Show,Yes,"Feb 11, 2022",12,120
2022-02-23,2,2,2,Love is Blind,TV Show,Yes,"Feb 13, 2020",30,198
2022-02-24,1,1,1,Inventing Anna,TV Show,Yes,"Feb 11, 2022",13,130
2022-02-24,2,2,2,Love is Blind,TV Show,Yes,"Feb 13, 2020",31,207
2022-02-25,1,1,1,Inventing Anna,TV Show,Yes,"Feb 11, 2022",14,140
2022-02-25,2,2,2,Love is Blind,TV Show,Yes,"Feb 13, 2020",32,216
2022-02-26,1,-,-,Tyler Perryâs A Madea Homec…,Movie,Yes,"Feb 25, 2022",1,10
2022-02-26,2,2,2,Love is Blind,TV Show,Yes,"Feb 13, 2020",33,225
2022-02-27,1,1,-,Tyler Perryâs A Madea Homec…,Movie,Yes,"Feb 25, 2022",2,20
2022-02-27,2,4,-,Vikings: Valhalla,TV Show,Yes,"Feb 25, 2022",2,16
2022-02-28,1,2,-,Vikings: Valhalla,TV Show,Yes,"Feb 25, 2022",3,26
2022-02-28,2,1,-,Tyler Perryâs A Madea Homec…,Movie,Yes,"Feb 25, 2022",3,29
2022-03-01,1,1,-,Vikings: Valhalla,TV Show,Yes,"Feb 25, 2022",4,36
2022-03-01,2,3,1,Inventing Anna,TV Show,Yes,"Feb 11, 2022",18,173
2022-03-02,1,1,-,Vikings: Valhalla,TV Show,Yes,"Feb 25, 2022",5,46
2022-03-02,2,-,-,Worst Roommate Ever,TV Show,Yes,"Mar 1, 2022",1,9
2022-03-03,1,2,-,Worst Roommate Ever,TV Show,Yes,"Mar 1, 2022",2,19
2022-03-03,2,1,-,Vikings: Valhalla,TV Show,Yes,"Feb 25, 2022",6,55
2022-03-04,1,1,-,Worst Roommate Ever,TV Show,Yes,"Mar 1, 2022",3,29
2022-03-04,2,2,-,Vikings: Valhalla,TV Show,Yes,"Feb 25, 2022",7,64
2022-03-05,1,6,2,Love is Blind,TV Show,Yes,"Feb 13, 2020",40,273
2022-03-05,2,-,-,Pieces of Her,TV Show,Yes,"Mar 4, 2022",1,9
2022-03-06,1,2,-,Pieces of Her,TV Show,Yes,"Mar 4, 2022",2,19
2022-03-06,2,3,-,Worst Roommate Ever,TV Show,Yes,"Mar 1, 2022",5,46
2022-03-07,1,1,-,Pieces of Her,TV Show,Yes,"Mar 4, 2022",3,29
2022-03-07,2,2,-,Worst Roommate Ever,TV Show,Yes,"Mar 1, 2022",6,55
2022-03-08,1,1,-,Pieces of Her,TV Show,Yes,"Mar 4, 2022",4,39
2022-03-08,2,3,2,Inventing Anna,TV Show,Yes,"Feb 11, 2022",25,228
2022-03-09,1,1,-,Pieces of Her,TV Show,Yes,"Mar 4, 2022",5,49
2022-03-09,2,5,-,Good Girls,TV Show,,"Jan 1, 2019",24,133
2022-03-10,1,1,-,Pieces of Her,TV Show,Yes,"Mar 4, 2022",6,59
2022-03-10,2,-,-,The Last Kingdom,TV Show,,"Jul 10, 2016",12,52
2022-03-11,1,2,-,The Last Kingdom,TV Show,,"Jul 10, 2016",13,62
2022-03-11,2,1,-,Pieces of Her,TV Show,Yes,"Mar 4, 2022",7,68
